n,bc,num_threads,mergesort_time,stl_sort_time,speedup
1000000,41500,8,0.0324978,0.167245,5.14633
1000000,41600,8,0.0325224,0.165986,5.10373
1000000,41700,8,0.0330841,0.165521,5.00302
1000000,41800,8,0.0323456,0.165628,5.12058
1000000,41900,8,0.0336334,0.165938,4.93373
1000000,42000,8,0.0337224,0.165094,4.89568
1000000,42100,8,0.0327655,0.165286,5.04452
1000000,42200,8,0.0312897,0.165093,5.27627
1000000,42300,8,0.0330677,0.165769,5.01303
1000000,42400,8,0.0334023,0.165567,4.95674
1000000,42500,8,0.0309162,0.16563,5.35739
1000000,42600,8,0.0331619,0.165794,4.99953
1000000,42700,8,0.0320157,0.166196,5.19107
1000000,42800,8,0.033509,0.165526,4.93977
1000000,42900,8,0.0300029,0.165526,5.51701
1000000,43000,8,0.0334242,0.165439,4.94967
1000000,43100,8,0.031791,0.165612,5.20941
1000000,43200,8,0.0303503,0.166023,5.47024
1000000,43300,8,0.0316968,0.165232,5.21289
1000000,43400,8,0.0324965,0.165823,5.1028
1000000,43500,8,0.0330753,0.165562,5.00561
1000000,43600,8,0.031678,0.165747,5.23226
1000000,43700,8,0.0335613,0.165603,4.93434
1000000,43800,8,0.0303186,0.165464,5.45752
1000000,43900,8,0.0325315,0.166549,5.11961
1000000,44000,8,0.0332338,0.166973,5.02419
1000000,44100,8,0.0335478,0.166922,4.97565
1000000,44200,8,0.0318837,0.16701,5.2381
1000000,44300,8,0.0339703,0.165548,4.8733
1000000,44400,8,0.0291552,0.165209,5.66654
1000000,44500,8,0.0315597,0.165966,5.2588
1000000,44600,8,0.0334494,0.167282,5.00105
1000000,44700,8,0.0333927,0.166908,4.99834
1000000,44800,8,0.0335043,0.165535,4.9407
1000000,44900,8,0.031781,0.167231,5.26197
1000000,45000,8,0.0302197,0.165821,5.48716
1000000,45100,8,0.0290795,0.165767,5.70049
1000000,45200,8,0.0330592,0.167077,5.05389
1000000,45300,8,0.0316778,0.167231,5.27913
1000000,45400,8,0.0317755,0.166291,5.2333
1000000,45500,8,0.0331418,0.166945,5.03731
1000000,45600,8,0.0300862,0.165563,5.50295
1000000,45700,8,0.0314178,0.165657,5.27272
1000000,45800,8,0.0297884,0.165972,5.57172
1000000,45900,8,0.0332342,0.165549,4.9813
1000000,46000,8,0.0318851,0.165399,5.18734
1000000,46100,8,0.0323498,0.16557,5.11812
1000000,46200,8,0.0316385,0.166372,5.25852
1000000,46300,8,0.029222,0.166058,5.68264
1000000,46400,8,0.0331495,0.16567,4.99767
1000000,46500,8,0.0320009,0.165559,5.17356
1000000,46600,8,0.0290961,0.165681,5.69426
1000000,46700,8,0.0366939,0.165536,4.51126
1000000,46800,8,0.0306035,0.165028,5.39247
1000000,46900,8,0.0343337,0.165261,4.81337
1000000,47000,8,0.033532,0.166481,4.96486
1000000,47100,8,0.0298115,0.167428,5.61621
1000000,47200,8,0.03181,0.167412,5.26289
1000000,47300,8,0.033152,0.167521,5.05314
1000000,47400,8,0.0325302,0.167027,5.13452
1000000,47500,8,0.0295022,0.167179,5.66666
1000000,47600,8,0.0325816,0.167321,5.13544
1000000,47700,8,0.0334849,0.167188,4.99292
1000000,47800,8,0.033352,0.167399,5.01915
1000000,47900,8,0.032261,0.166119,5.14922
1000000,48000,8,0.0315901,0.165224,5.23025
1000000,48100,8,0.0329515,0.165985,5.03726
1000000,48200,8,0.0332611,0.16586,4.98659
1000000,48300,8,0.0325519,0.165254,5.07662
1000000,48400,8,0.0293718,0.165609,5.63837
1000000,48500,8,0.0313784,0.16743,5.33585
1000000,48600,8,0.0294388,0.165666,5.62748
1000000,48700,8,0.0333565,0.167525,5.02228
1000000,48800,8,0.0341873,0.166827,4.87979
1000000,48900,8,0.033596,0.167135,4.97486
1000000,49000,8,0.0323167,0.167543,5.18442
1000000,49100,8,0.0314314,0.167211,5.31986
1000000,49200,8,0.0291785,0.167556,5.74243
1000000,49300,8,0.0332547,0.166547,5.00824
1000000,49400,8,0.0311637,0.166907,5.3558
1000000,49500,8,0.0297898,0.166711,5.59625
1000000,49600,8,0.0323251,0.167318,5.17611
1000000,49700,8,0.0311195,0.166306,5.34412
1000000,49800,8,0.0315462,0.166132,5.26631
1000000,49900,8,0.0326623,0.165699,5.0731
1000000,50000,8,0.0318233,0.165419,5.19805
1000000,50100,8,0.0296867,0.165726,5.58248
1000000,50200,8,0.0321382,0.165409,5.1468
1000000,50300,8,0.0297591,0.165567,5.56359
1000000,50400,8,0.0333564,0.16582,4.97115
1000000,50500,8,0.0318115,0.165677,5.20808
1000000,50600,8,0.031407,0.167424,5.33077
1000000,50700,8,0.0328957,0.167522,5.09253
1000000,50800,8,0.0328083,0.16753,5.10634
1000000,50900,8,0.0319099,0.167419,5.2466
1000000,51000,8,0.0326671,0.167712,5.13397
1000000,51100,8,0.0311917,0.167252,5.36209
